Synthesis_Method,Chitosan_Conc_mgmL,Chitosan_MW_kDa,Chitosan_DD_percent,Cobalt_Source,Cobalt_Conc_mM,pH,Temperature_C,Time_hr,Stirring_Speed_rpm,Crosslinker/TPP_Used,Crosslinker_Conc_mM,Ultrasonication,Ultrasonication_Details,Solvent,Ionic_Strength_mM,Particle_Size_nm,Size_SD_nm,PDI,Zeta_Potential_mV,Solvent_polarity_index,Co_to_CS_ratio,CS_charge_index,pHpKa_diff,Energy_proxy
25.0,16.0,150.0,85.0,33.0,125.0,10.5,120.0,4.0,500.0,4.0,14.7,1.0,10.0,5.0,1000.0,57.0,8.0,0.4,25.0,0.0,7.812499999511719,0.005362799058336357,4.2,480.0
10.0,15.0,50.0,85.0,30.0,20.0,11.5,80.0,0.5,500.0,2.0,0.0,0.0,27.0,11.0,200.0,6.0,2.0,0.2,20.0,0.0,1.3333333332444444,0.0005363103589185652,5.2,40.0
48.0,10.0,150.0,85.0,42.0,0.55,9.0,120.0,4.0,500.0,2.0,0.0,0.0,27.0,0.0,200.0,68.97732327114053,5.0,0.2,-15.0,5.2,0.054999999994500004,0.1692595795119071,2.7,480.0
6.0,18.75,77.0,90.3,1.0,0.0194,8.0,100.0,1.0,400.0,3.0,100.0,0.0,27.0,26.0,100.0,3.0,0.5,0.2,15.0,0.0,0.0010346666666114844,1.7664760396939299,1.7000000000000002,100.0
22.0,5.0,150.0,75.0,29.0,50.0,4.8,60.0,18.0,500.0,2.0,0.0,1.0,21.0,11.0,10.0,11.02,2.0,0.4,-9.7,0.0,9.999999998,72.70099274762133,-1.5,1080.0
30.0,50.0,200.0,85.0,33.0,50.0,7.0,25.0,24.0,200.0,2.0,0.0,0.0,27.0,29.0,0.0,11.0,3.0,0.4,20.0,0.0,0.9999999999800001,14.138690119407757,0.7000000000000002,600.0
22.0,5.0,150.0,75.0,29.0,50.0,4.8,60.0,19.0,500.0,2.0,0.0,1.0,21.0,11.0,10.0,11.02,2.0,0.4,-9.7,0.0,9.999999998,72.70099274762133,-1.5,1140.0
36.0,10.0,200.0,90.0,17.0,2.0,7.0,120.0,2.0,400.0,2.0,0.0,0.0,27.0,20.0,2.0,4.0,1.0,0.3,-15.0,9.0,0.19999999998,14.970377773490567,0.7000000000000002,240.0
43.0,5.0,150.0,85.0,33.0,25.0,7.4,110.0,24.0,500.0,2.0,0.0,0.0,27.0,22.0,10.0,250.0,30.0,0.4,3.0,6.4,4.999999999,6.254942269993744,1.1000000000000005,2640.0
45.0,2.0,150.0,85.0,33.0,50.0,6.0,110.0,24.0,300.0,2.0,0.0,0.0,27.0,22.0,50.0,250.0,30.0,0.3,3.0,6.4,24.9999999875,56.621851089565375,-0.2999999999999998,2640.0
10.0,10.0,150.0,85.0,29.0,100.0,12.0,90.0,2.0,600.0,2.0,0.0,1.0,21.0,11.0,502.6131144546789,14.0,2.0,0.288,35.0,0.0,9.999999999,0.00016959695838193492,5.7,180.0
27.0,10.0,100.0,85.0,13.0,2.04,2.5,25.0,0.67,500.0,3.0,2.7,0.0,27.0,1.0,20.0,22.27,5.0,0.3,45.8,0.0,0.2039999999796,84.98653054262921,-3.8,16.75
9.0,5.0,200.0,70.0,30.0,5.0,4.5,25.0,0.2,600.0,2.0,0.0,0.0,27.0,11.0,25.0,207.0,8.5,0.18,40.0,0.0,0.9999999998,68.90788364307193,-1.7999999999999998,5.0
38.0,20.0,200.0,85.0,21.0,50.2,10.284158981237631,25.0,3.0,250.0,2.0,0.0,0.0,27.0,15.0,500.0,15.905341014899937,3.6522659008943026,0.3012639137320541,15.0,5.2,2.5099999998745,0.008814849545247024,3.9841589812376315,75.0
